generation,i,fitness,hash,mom_hash,dad_hash,values
0,0,7.663368230445496,5942709432658885310,0,0,1.5156724526285785  1.9801723542703442
0,1,10.793808160104755,-73310203722901082,0,0,2.2265162544904484  4.106335679668398
0,2,11.308465258608281,1875732527142056674,0,0,-3.501628440941232  2.3807271302596718
0,3,11.366228632477226,6041119064641448695,0,0,2.7885114732699634  -3.466500812744492
0,4,12.826006578777758,1143169356747625648,0,0,1.0470716718443285  -7.0507320933544975
0,5,13.054198872210359,4859125223779090733,0,0,-5.213587904858315  -2.6938659191505465
0,6,13.193233662210593,1077530324228688794,0,0,0.03662323500892484  7.1398379014296935
0,7,13.2074640127637,8067620711742876454,0,0,-5.376986694576566  3.0183396258564414
0,8,14.772556728504412,1766846436880313490,0,0,-4.877295123711768  5.593033381042467
0,9,15.127105592338518,-5263885028864063529,0,0,-3.5295943460307058  6.889771604326107
0,10,15.334671198211506,6832405549916451205,0,0,-6.5983394490238325  3.4593516200117804
0,11,15.537406948170663,5130488238053711650,0,0,7.3961616769373535  -3.9363350406681903
0,12,15.685110190648473,4634363341589188042,0,0,-8.288668575780697  -0.2660338932820707
0,13,16.020786081209923,-5067522372270315790,0,0,7.420666966832059  3.4373763911529025
0,14,16.76625148688699,628878123236291677,0,0,8.320108550614194  4.742798103723999
0,15,17.110984063558966,5010251190541815002,0,0,2.128741636732336  -10.736475148086136
0,16,17.23051128742776,-8326206221928164840,0,0,10.687709115469907  0.16119073957860053
0,17,17.23235141530303,-1863778328435932457,0,0,-8.722689255604308  -6.88313461271035
0,18,17.576013652087102,1073069881915495114,0,0,-12.121781177528817  2.2067042925320948
0,19,17.70353924949039,4473007114244368038,0,0,-12.895173902155378  -0.18969689191779082
0,20,18.148870004140857,-2728316025207628335,0,0,4.2623993570336225  -11.818763989840306
0,21,18.240354902206402,7755111998956044708,0,0,6.476532351433008  9.780711222797379
0,22,18.295434569487256,-8628715172800833336,0,0,-7.9112566661370565  9.565261857513747
0,23,18.33469439151192,1227175841111261478,0,0,-12.22418150241218  5.184258042171393
0,24,18.37386737137277,-99069967354326167,0,0,13.79134067652764  -0.15643124326501123
0,25,18.63802721323006,-841715281586215563,0,0,-9.756863314537455  -8.322898300181151
0,26,18.66263901721247,2119470674831958913,0,0,15.075898641853527  -8.112776269818404
0,27,18.774711514987608,-2154360853012610938,0,0,9.623324085260876  -9.169540716772495
0,28,18.856808491922493,8757513809061948717,0,0,-2.9132136914538336  16.854591102133625
0,29,18.863133597067417,7572836716478170576,0,0,-12.116840588827749  8.747646184804388
0,30,18.91356826538337,-8688557028121648255,0,0,12.412503174048467  -5.175171866404419
0,31,18.941676350899648,-782259219921030413,0,0,4.531112481719667  13.077913062650723
0,32,18.99385438971466,3938703654410497775,0,0,11.956539629679881  16.988503869269245
0,33,19.085457133696384,5121604664498945496,0,0,-13.766465070116624  2.3181382620077997
0,34,19.184674667152265,6426610034874678140,0,0,6.340770635107127  14.001957629527233
0,35,19.25958388915017,5471470945684622917,0,0,-12.742680858162913  5.611650381870511
0,36,19.380517192869085,-199515948972742975,0,0,19.14753406973456  -4.928068618591908
0,37,19.40103461300363,5568438584314653708,0,0,10.734942226019449  -11.207178551546718
0,38,19.449903319102628,-6798198282405495233,0,0,15.256962766513354  -5.84147279661029
0,39,19.46454867042136,7659343002198171459,0,0,10.381583602076653  12.018732958435521
0,40,19.47856883647483,3082800344061095764,0,0,9.84856779496883  -17.94220312652093
0,41,19.496947130301468,4882730528817276800,0,0,-13.967389702785972  18.102638741739668
0,42,19.59370501851187,7985768410154698920,0,0,-5.8734928917644496  -21.972438126696964
0,43,19.63980004001037,-7013831439342534229,0,0,14.371204108478715  3.710862160668171
0,44,19.641546574283062,8791860824777689298,0,0,0.2237983921500657  15.689885462104236
0,45,19.85146298503318,-2893154353446075278,0,0,9.129936338088264  -13.560630963592196
0,46,19.889183154950732,-6371016421500422165,0,0,8.036569369630143  29.936500861486103
0,47,19.893961985557734,2970990461632903500,0,0,14.672389958035978  -4.396024845631125
0,48,19.899194255131757,7391406431897096240,0,0,14.24944438403233  -11.170212948508535
0,49,19.934000985985353,-4872882937148124846,0,0,-15.208070727615613  -12.865889488595847
0,50,19.939288397726884,-477441853734576364,0,0,-25.93849111067331  -14.927205552327088
0,51,19.94779551493977,-4993425700520270789,0,0,-21.010383450751654  -0.23137924729272186
0,52,19.950494439771102,-3105369077227823093,0,0,29.9613191838283  -11.931345974011158
0,53,20.020624092666154,8171719040229322087,0,0,12.319336651687827  -13.919631083555764
0,54,20.024360602800407,-8688167127299519676,0,0,21.200029143160975  -2.1112894072187984
0,55,20.04199218060256,-2347481274167504945,0,0,-21.775119568145136  0.9627553137740321
0,56,20.120692335521785,7898967265928785325,0,0,7.956575639730879  26.14872245115525
0,57,20.158089212402505,-6761660347496616438,0,0,-18.014780478036407  29.889598691673534
0,58,20.19969132512123,3757251345926245631,0,0,16.754456473023183  -11.868222021869158
0,59,20.241164295503356,-6212034529748910203,0,0,26.9537977575771  -14.142524146786762
0,60,20.265392843749755,-742984779906358110,0,0,-20.948548471568415  22.858881475350138
0,61,20.267827538617997,1646354575447756609,0,0,15.092884761979889  -26.88205862610537
0,62,20.407923564650215,-2488799964588905842,0,0,16.774127821244917  18.962015210137878
0,63,20.440230767957715,-8954212793237608232,0,0,16.59444334412148  -8.180246477901562
0,64,20.47123551900793,8102274776365063445,0,0,3.052224606099095  19.57859320678417
0,65,20.474060369359453,4536717470950940244,0,0,24.815953722465046  2.854535966755627
0,66,20.4815054744701,4469233038931358411,0,0,-26.10671571118803  -16.85095013369009
0,67,20.48151263558479,6550868210176265220,0,0,22.002193720896827  -13.23888057326733
0,68,20.483526471583264,-1879628639143921402,0,0,18.440424049025395  5.899966610793527
0,69,20.508980513467197,-6112304082015192053,0,0,-3.1955020178275646  -27.09541312302992
0,70,20.543415141411618,-546208759574194423,0,0,-25.097601511047237  -3.773984629827069
0,71,20.550548277819406,9000534900746959644,0,0,8.223441197228567  17.688586630718532
0,72,20.63330934215345,-4994340551683900338,0,0,-19.31776302027695  -11.929883462136203
0,73,20.634950148075458,-2712274722535707452,0,0,20.232983165064134  1.2848982415986683
0,74,20.637107375327137,1904062046040184357,0,0,3.087439335163644  -23.721743885980793
0,75,20.697128415076484,8922917603197189865,0,0,22.959950076521324  22.785891952094005
0,76,20.74064849604627,8244032041303438019,0,0,31.16831235423517  -18.88554858279136
0,77,20.746824387247724,-4802476462774511116,0,0,-21.90250084818488  -10.711454779357311
0,78,20.7571886344986,-9014401253903256882,0,0,1.220460768240585  -19.44048040316607
0,79,20.75956873101248,-8472653469879517635,0,0,-29.84043670688461  31.888269606068675
0,80,20.777774954260263,8175634618851149340,0,0,-3.696358827418564  21.826042954881054
0,81,20.786733157947896,4020749628718780451,0,0,-23.199483186682947  8.792262802688313
0,82,20.792089757408107,-1444814521694416860,0,0,-2.5745454215325125  19.795854417400477
0,83,20.809501136448954,-5458355441694639507,0,0,1.9479431285956395  -22.397419131205744
