generation,i,fitness,hash,mom_hash,dad_hash,values
0,0,621,-1235711738625365741,0,0,1  1  0  0  0  1  1  1  1  1  0  1  0  1  0  0  1  1  0  0  0  1  1  0  1  1  1  1  1  1  1  0  0  0  0  1  0  1  1  1  0  1  1  1  1  1  1  1  1  1  0  1  1  1  0  0  1  0  1  1  1  0  0  0  1  1  1  1  1  1  0  0  1
0,1,615,-3896986332907180015,0,0,0  0  1  1  1  1  1  1  1  1  0  1  1  1  1  1  1  0  0  1  1  0  0  1  1  0  1  0  0  1  1  0  0  0  0  1  0  1  1  1  0  1  0  0  1  0  0  0  1  1  1  0  1  1  1  1  1  1  1  0  1  1  1  1  0  0  0  1  0  0  1  1  0
0,2,591,-6458707001334949608,0,0,1  0  1  0  0  0  0  1  1  1  1  1  1  1  0  1  1  1  1  1  0  1  1  1  0  1  1  1  1  1  0  1  0  1  1  1  1  1  0  0  1  0  0  1  0  1  1  0  1  1  1  1  1  0  0  1  0  1  1  0  0  0  0  0  1  1  1  1  1  1  0  0  0
0,3,580,585212943734303410,0,0,1  1  0  1  1  1  1  1  1  0  1  1  0  1  0  0  1  1  1  1  1  1  1  0  1  0  1  1  1  0  1  1  1  0  1  1  0  1  1  1  1  0  0  1  1  1  1  0  0  1  0  1  1  0  0  0  0  1  0  1  0  1  0  0  1  0  1  1  0  1  1  0  1
0,4,574,-118363094432426768,0,0,1  1  1  0  1  0  0  1  0  1  1  0  1  1  1  1  1  1  1  0  1  1  0  0  1  1  0  1  0  0  0  1  0  1  1  0  1  0  1  0  1  1  0  0  1  0  0  1  0  1  1  1  0  1  1  1  0  1  1  0  1  1  0  1  0  1  0  1  0  0  0  1  1
0,5,570,8774105888860544656,0,0,1  1  1  0  1  1  1  0  1  0  0  0  0  0  1  1  1  0  1  0  0  1  0  0  1  0  1  0  0  1  0  0  0  1  1  1  0  0  0  0  1  1  1  0  0  0  1  1  1  1  1  0  1  0  0  0  0  0  1  1  1  1  0  1  0  0  0  1  1  0  1  0  1
0,6,561,5360202447523303378,0,0,0  1  0  0  1  1  1  0  1  1  1  1  0  1  0  1  1  1  0  1  0  1  1  0  1  0  1  1  0  0  0  1  0  1  0  0  1  1  1  1  0  1  1  0  0  1  0  0  1  1  0  0  0  1  0  1  1  0  0  1  1  1  1  0  1  1  1  1  1  1  1  1  0
0,7,558,-5308951633669923424,0,0,1  0  0  1  0  0  1  0  0  0  1  0  0  1  1  1  0  1  1  0  0  0  1  1  1  1  0  0  1  1  0  0  1  1  1  0  0  1  0  1  1  1  1  0  0  1  0  1  1  0  1  0  1  1  1  1  0  0  1  1  0  1  0  1  0  1  1  1  1  0  1  0  1
0,8,550,-3491061342336464832,0,0,0  1  1  1  1  1  1  0  0  0  0  0  1  1  0  0  0  0  0  1  0  0  0  1  1  0  0  1  1  1  1  1  1  0  0  1  1  1  0  1  1  0  1  0  0  0  1  1  0  0  1  1  1  0  0  1  0  1  1  0  0  1  0  1  1  0  1  1  1  0  1  1  1
0,9,549,6051863680436455397,0,0,1  0  1  0  1  0  1  1  1  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  1  1  0  1  0  0  1  1  0  1  1  0  0  1  1  1  1  0  0  1  1  0  1  1  1  1  1  1  1  0  1  1  1  0  1  0  0  0  0  1  1  0  0  0  0  1  1  0  1
0,10,546,-6431409339566524084,0,0,0  0  0  0  1  0  1  1  0  1  0  1  0  1  1  1  1  0  0  0  1  1  0  1  1  1  1  1  1  0  0  1  0  0  1  0  0  1  0  1  1  0  1  1  1  0  0  0  1  1  0  0  1  0  0  1  0  1  1  1  1  1  0  1  1  1  1  1  0  0  1  0  1
0,11,543,-4396219459788044352,0,0,1  0  1  0  0  0  1  1  1  0  1  1  1  1  1  0  0  1  1  1  0  1  1  0  1  1  0  1  1  1  1  1  1  1  0  0  1  0  0  1  1  1  0  0  0  0  1  1  0  1  0  0  1  0  0  1  0  1  0  0  0  0  1  0  1  0  1  1  0  0  0  1  0
0,12,543,6777801455007703364,0,0,0  1  0  0  0  1  1  0  0  1  1  1  1  0  0  1  1  1  1  1  1  1  1  0  1  0  1  1  0  1  1  0  1  1  0  1  0  1  0  0  1  0  0  0  0  0  1  0  0  1  0  0  1  1  1  0  0  1  0  0  0  1  1  0  1  0  1  1  1  0  0  1  0
0,13,538,9069207078762531479,0,0,1  1  0  1  1  1  0  1  1  0  1  1  1  1  1  1  1  0  0  1  1  1  0  0  1  1  0  1  0  0  0  1  1  1  0  1  0  0  1  0  0  1  1  1  1  1  0  0  0  1  1  1  1  1  0  0  0  0  1  0  0  1  0  1  1  1  1  0  1  1  1  1  0
0,14,537,-7274964387610888377,0,0,0  1  1  1  1  1  1  1  0  1  0  1  1  1  1  0  0  1  1  0  0  0  0  0  1  1  0  1  1  1  1  1  1  1  0  1  0  0  0  0  1  0  1  1  0  1  1  1  0  0  0  0  1  1  0  0  1  0  0  1  0  1  0  1  0  0  0  1  1  1  0  1  0
0,15,535,-4235538375815253213,0,0,1  0  1  1  0  1  1  0  0  0  0  1  1  1  0  1  0  1  1  0  0  1  0  1  1  1  1  1  0  1  0  1  0  1  1  0  1  0  0  1  1  1  0  1  1  0  1  1  0  1  1  1  0  0  1  1  1  1  0  1  0  0  0  0  0  1  0  0  0  1  1  1  1
0,16,533,7669169372491020659,0,0,0  0  0  1  1  1  0  1  1  1  0  1  0  0  1  1  1  1  0  0  1  1  1  0  0  0  1  0  0  0  1  0  1  0  1  1  0  0  1  0  1  0  1  0  1  1  1  1  1  1  0  1  1  1  0  0  0  0  1  0  1  0  0  0  1  1  1  1  1  0  1  1  0
