generation,i,fitness,hash,mom_hash,dad_hash,values
0,0,[-9.559600902515692, 0.45440707254882545],-8828400147408618067,0,0,0.15225001721160059  -0.16593063507865224
0,1,[-7.871927045052275, -2.5213671613716797],6293771175391396242,0,0,0.1881574714653862  -1.1815227708656773
0,2,[-6.607348485161722, 3.4862492880755003],-2555931982217367193,0,0,-1.2122461812435148  1.6803863361882163
0,3,[-5.8464691370488575, -3.349897339382031],-2809877145714281451,0,0,-2.322287835074323  -1.3451459399244312
0,4,[-5.457502325467091, -0.26756294587263385],-2723150322040364170,0,0,-2.8251006092614306  -1.0896809404590222
0,5,[-3.642015753320807, -2.7690330737712077],-5372553321198859861,0,0,-2.120853378255596  4.583327853220924
0,6,[-7.997082033218872, -1.9368571205552998],5548826195401826750,0,0,-0.9676850060533182  -0.5590039759529963
0,7,[-7.972556899205441, -0.794735625260107],-3528935543531690378,0,0,-1.0056986437561823  0.5215657121313244
0,8,[-3.584407591618051, 4.419655733636757],-2090595698959859317,0,0,-3.4143226202595702  3.8286922623174657
0,9,[-4.558851817937067, 4.427227161224405],3127544752062752373,0,0,-3.8883644181627943  -0.553570105641553
0,10,[-7.731072150091801, 6.126595398272307],-7145315807254418663,0,0,1.2175029394699575  0.416235307714107
0,11,[-6.392727945367669, 2.755645428912843],4251491830634510293,0,0,-1.8286253594175363  1.288734010676892
0,12,[-7.564666067518871, 7.673710655389509],-8343217403207533847,0,0,0.859345739058206  1.0995006730228578
0,13,[-5.920674522457283, -5.35425576243918],7444372679515659447,0,0,-1.6824476144485043  -2.0093033384997536
0,14,[-6.902541873424861, 8.358182758074898],-5301600398422437445,0,0,1.7236790768679189  0.6814005584256924
0,15,[-5.084031642839757, 8.826649726651272],3740423462849826121,0,0,1.5832028286259936  -2.9889991645782557
0,16,[-4.118563587303435, 1.8485022451707245],-1809905201493663584,0,0,0.8090029564384702  4.3609993704885
0,17,[-4.7410373444003735, 4.833520746304533],6929851450976769319,0,0,2.5576544442502556  -2.7172749369762594
0,18,[-4.317149481095893, 0.10964422604150753],7722721532481639859,0,0,4.194705903930707  -0.2097901776554263
0,19,[-4.266445627270442, 2.8912453068025363],-2634622847063253232,0,0,-3.6074204745639635  -2.264016266436065
0,20,[-3.9401539024677934, -4.005052967526913],7480047911332327683,0,0,4.324148029570811  -1.728518812233859
0,21,[-7.725732682061407, -3.088756473308368],7479074797279127476,0,0,-0.9153406623105367  -0.9091854749986208
0,22,[-3.3716657942423085, 0.9782203766370077],-6554524394336111262,0,0,4.546256730244169  2.9800099101568733
0,23,[-4.712815650192337, 4.068795341858336],7586918632836718205,0,0,-3.750356193394715  -0.2892994284574568
0,24,[-3.2296046088538617, 1.5924057320520557],-6783463511729394975,0,0,4.278587787825762  3.691736924570586
0,25,[-3.289103051343702, 1.7622214455223624],-3929699797835788674,0,0,4.920829551668911  2.5879295471085193
