generation,i,fitness,hash,mom_hash,dad_hash,values
0,0,9.141045974627495,6816542045049177957,0,0,-1.100411991893834  2.0921007778053653
0,1,9.550586599741303,3464156583494914241,0,0,0.7893668581422606  -1.0388600182987293
0,2,11.343932805019874,-120348308893364528,0,0,-0.7637972888097542  0.9381230052724234
0,3,11.899237888863947,-8598967660631393488,0,0,-1.1928381252477505  -1.997500699518819
0,4,11.972353459385774,1535238074342233360,0,0,0.7465284405701968  0.9629555960736207
0,5,14.231684294463225,8972472667231356513,0,0,2.1631320911447567  0.8520663648316393
0,6,14.64323146995953,5506145703008229993,0,0,1.7449991430286342  -1.0331840920554267
0,7,14.746804166456249,-5834879320099651702,0,0,1.9116561937782102  1.8100711670590703
0,8,14.77816936987012,3524139884629017393,0,0,2.0497774046270356  -3.0608712712185993
0,9,15.056339583625027,3693586148930977784,0,0,0.16516773090476633  2.173666036485038
0,10,15.074766080303316,-8145149323089687777,0,0,3.0744971271875743  0.1577274260743513
0,11,15.641363465832033,8063962913231470005,0,0,3.0300378014751947  -0.18877031405428824
0,12,16.437508889441347,7412338065897453513,0,0,-0.2553696353105943  -2.0928740650431576
0,13,18.510095113346907,167209079095851254,0,0,-2.819833984238859  0.8507679908804953
0,14,19.47573273520346,-10492516991049801,0,0,-3.1213485301268067  1.1771123066984384
0,15,20.217841168530303,2079141144356084110,0,0,1.1019910538474527  -2.7594795324258756
0,16,20.927635873263768,553381644070702985,0,0,0.4313055753923889  1.0530238425704388
0,17,21.0147848600244,-7959094205986136967,0,0,0.02459215929092462  -2.690420311451301
0,18,21.595352666413962,-7118884804145026024,0,0,-2.849131997113442  3.027308534494318
0,19,21.649507643526697,-3903718616958596312,0,0,-1.1369513185402789  0.3677612630566305
0,20,23.19763257086833,891154753039056883,0,0,-0.656821436238868  0.8053521158506305
0,21,23.530930833350695,872350990393661095,0,0,1.7688798502533531  -2.197431676868421
0,22,23.607166799960723,7191234609169755487,0,0,-2.852788276822306  -3.0992469942473746
0,23,23.810870297328545,7982366986361080337,0,0,0.821648568322149  -2.7513160499260323
0,24,23.824531042034124,-8500150344816578916,0,0,1.1317446706684162  -4.112504887047151
0,25,24.02282566792793,-2646612933913273336,0,0,-3.0679744214969653  -0.697734159913697
0,26,24.30134891144203,-1037342484428984134,0,0,-3.1713376587511304  -2.9718932353901515
0,27,24.480229184631792,-8007105853774055368,0,0,-1.0145974651887757  2.6384875563918886
0,28,24.72501603564414,-3193453082884609929,0,0,1.9247429860742873  4.124592287555134
0,29,24.833186178772056,1604622299561572655,0,0,-1.9006729948636836  -3.8411437240533646
0,30,24.833830554664303,-2179338566135458159,0,0,-3.995457225837987  -2.152192416811133
0,31,25.60509850723215,244557001230413021,0,0,-2.9214499760647312  -3.1803512551253474
0,32,26.291023227718195,-4731406561283186748,0,0,2.0301583630091695  1.544963863507924
0,33,27.104648352722446,-9040355768415285507,0,0,-2.4480857201601793  0.0921630126525077
0,34,27.609508596117752,2067546927237744545,0,0,0.984977790989702  5.068310568039702
0,35,27.674691336194773,9030401312411173661,0,0,1.7948348470178255  0.6302056793124651
0,36,28.29054862040492,8176901079015110296,0,0,4.1780200015769  2.0689609525859796
0,37,28.398141798420845,-4168775303576791566,0,0,0.825066025848253  -1.5091555518971327
0,38,28.779075450088392,-1400288327237672060,0,0,-3.012482463297753  0.5571176781549525
0,39,28.78373376638879,-810784273751518892,0,0,4.203047544652795  -2.0051114346274685
0,40,29.00768568817718,-5158124956870806638,0,0,4.023656806473537  0.2922274465902355
0,41,29.221559930154715,-7821913020785759045,0,0,4.98057057039608  0.8605213107399017
0,42,29.371134389038023,-7195685411734903754,0,0,2.179859544322583  1.643917775095531
0,43,29.518537408121485,7998768604092033971,0,0,-0.1850858179523911  2.3907508996435727
0,44,29.804458504483634,2249382503454082029,0,0,4.092996369539526  1.2474015031687768
0,45,30.1153681362539,-4781504318631614890,0,0,-0.17488661372970604  -4.20119015856579
0,46,30.308422081429377,781640392717427836,0,0,1.5826570950995684  -2.955598850064546
0,47,30.3376730871518,-7578991492359246129,0,0,5.077119834086129  1.1071883947734555
0,48,30.399832172021636,-7219063470987534737,0,0,-0.11365800623959821  -5.1005017587754775
0,49,30.603145860968397,-1330897023958807755,0,0,-3.3329538106247654  -1.9374940820327673
0,50,31.34155560254885,7971471887139346055,0,0,2.133888397626621  3.7610198899519363
0,51,31.444042263297195,-5670399474243119361,0,0,3.8519930433401948  3.1228228540443643
0,52,31.671357820807422,-3005702682672909959,0,0,-2.4729068927725804  -1.8946790988431723
0,53,32.015424020717376,532537825331637123,0,0,3.907763467626272  -0.33334873588079184
0,54,32.149209578355645,306615638196389437,0,0,0.1563012144806324  4.849195688826218
0,55,32.2882180653915,-2590444536788460740,0,0,-2.721340943644581  0.2985336055026959
0,56,32.44739787773437,973480715103071191,0,0,2.0520029054968267  -5.095425375449821
0,57,32.7005543508124,-3019198443018700596,0,0,2.316154137703178  -2.2236726547096444
0,58,32.970249882378155,8796567367645740376,0,0,3.9972119487195092  -0.6355514967953493
0,59,33.62313034278772,5020959384857108675,0,0,3.0772504167368906  -2.3809353425241717
0,60,34.05058829416182,-2173738246045943889,0,0,3.156366842792134  -0.446400927909159
0,61,34.57503011233696,2688377119017717207,0,0,0.6533161357330304  0.4051483118625967
0,62,34.59522660171111,-7650368787891928587,0,0,3.21501095043138  -1.6917701980956101
0,63,34.82795056051472,-4678943879233925282,0,0,3.1268845562512793  1.4738373670255616
0,64,34.86759481830654,-5921760477116673872,0,0,-5.099637380721118  1.177120740970091
0,65,35.40327725874175,2812939349894771773,0,0,-3.7158598823118303  3.0357495051190435
0,66,35.781432328304945,7847444308974692941,0,0,1.7636545920158628  3.7596711275370476
0,67,35.82489759602298,8957231793564400564,0,0,0.8786984337231498  -3.506287067326463
0,68,35.9920038448378,-1886463433821199270,0,0,0.9543750987935189  4.709959526647881
0,69,36.32267250344751,1850156981713815762,0,0,1.9771296471437578  -3.520963393481943
0,70,36.81045058157203,-2760004275969670868,0,0,-2.8938312682813443  -4.225088501628896
0,71,37.11932043303771,-6991420937109588123,0,0,-1.2702847617544832  4.195354945156585
0,72,37.23592835488637,4084309430122032345,0,0,0.24761253650254478  3.689465227899915
0,73,37.554992873825825,8717862184611996211,0,0,-4.766815945380939  -0.8297060052926657
0,74,37.767884596869976,2871192791637465587,0,0,4.675599735927974  0.08501708816454645
0,75,37.8621312816407,7822135870386236558,0,0,-0.4404974541652873  -1.6550203664587015
0,76,38.19613484792633,-1420596981637101032,0,0,1.1508510774426135  -4.316745510259931
0,77,38.5635613509485,-9181363093615214811,0,0,-2.338040550767189  3.877793078243722
0,78,38.66272676289241,7838923165723076190,0,0,-0.6969738705034692  4.9617202792151245
0,79,38.773127290921536,3997457089922545901,0,0,-2.733001629456693  0.5108252856964164
0,80,38.958891732410606,-8575750946224733948,0,0,1.5565259755786345  2.2813288145368578
0,81,39.110056799897,7446168576214793004,0,0,-4.699641395684051  -0.1453977567054725
0,82,39.15433160747425,-7429628673440270652,0,0,3.102002668512628  -4.242777037595439
0,83,39.30684310889389,-6103924627955428859,0,0,4.157062901171815  4.070634270714723
