generation,i,fitness,hash,mom_hash,dad_hash,values
0,0,14.21016673650383,-6042146228404839899,0,0,-2.496964481425498  6.094069192132711
0,1,21.906330680330203,6096229339934351118,0,0,1.9033894477790643  3.163650514275469
0,2,37.4018542559346,-3045113441183777224,0,0,-0.009712530963249755  -0.603083375719919
0,3,37.94844975038584,-4925362528304081953,0,0,-2.440178441391482  6.465485718391374
0,4,38.50574580067973,6598505427366300280,0,0,2.2834343081311506  4.606959876166213
0,5,60.333432272339365,6170638996960928342,0,0,2.5334473796346213  5.6568966875073965
0,6,69.10888466079479,7863728524549382851,0,0,-0.4661773222381891  1.0356073626220095
0,7,75.55635657990106,2236097511330452346,0,0,-1.8876048601690143  4.382918528664671
0,8,88.20740372254261,2608534230926311363,0,0,-1.5006281819743839  3.1571708755753765
0,9,97.96991587919157,866144867751513846,0,0,0.23292341373086511  -0.932567383311337
0,10,105.75231117079416,178980255749554941,0,0,0.6358828447274192  -0.6233676075999641
0,11,144.2387463948252,1545895726348437752,0,0,0.6138265033245531  -0.8235903675110992
0,12,145.12911963293212,5311281064296763222,0,0,-2.734780923259711  6.333686001802608
0,13,208.37760251303717,430696759340944375,0,0,-1.7683533343618385  4.54380857269879
0,14,219.78073966863744,4399986489207198781,0,0,2.7328139727628766  5.995933609390326
0,15,234.03113217008794,858479326343249705,0,0,1.3349787354601448  0.25272740665243987
0,16,259.6180368701421,733697100413186966,0,0,2.765484029663602  9.249467099674057
0,17,348.04639086687837,-4790770820769547593,0,0,-3.233557411063235  8.638963750727209
0,18,388.6220190450369,9050560090709341498,0,0,-2.801637521495813  9.783519128652497
0,19,406.56542021469164,-8106290487404676909,0,0,2.5653637600497747  4.570829903753026
0,20,593.6227948739861,3973705939845877337,0,0,2.0657501710680126  1.8332182426995924
0,21,693.0298232827371,-8185189043355615969,0,0,-0.28007966547338015  2.7078765335756962
0,22,708.404812962412,-6934972777970366166,0,0,0.8781258654018478  -1.8904545818376466
0,23,765.1013729986358,548866839697477398,0,0,-2.0362958559141324  6.895832150564113
0,24,788.8860616887565,-5280681371009857515,0,0,-2.0824304243631566  7.128262672037993
