generation,i,fitness,hash,mom_hash,dad_hash,values
0,0,0.22238584094551295,-4489260726685281749,0,0,-0.3302629326630173  0.33661882932233045
0,1,0.36503789968690653,-5382724830416425153,0,0,0.5158203871151246  -0.3145905718919586
0,2,0.431266489116957,5219456534629951053,0,0,-0.5996218652807217  -0.2678061011146404
0,3,0.572470310420841,9221781270886311547,0,0,-0.1309315003392122  0.7452028265108526
0,4,0.599380835135563,-5419661355245034916,0,0,0.6171854553532903  0.4674002020067114
0,5,1.5603259625104888,5053394959488712668,0,0,0.9395040399110943  -0.8231999280255202
0,6,1.7317106296896934,-7889699731230369198,0,0,-0.6466407026770256  -1.146109258025192
0,7,2.2836076675686767,3498047890591121001,0,0,1.3480673449390563  0.6828778083066105
0,8,2.472101696780088,5154211552169237438,0,0,0.6172134595523344  -1.4460806485557876
0,9,2.6518501811945887,-3748019389047616255,0,0,0.6389426125818467  1.497865988338634
0,10,2.670792526663297,8023714709198345502,0,0,-0.6362076602993589  1.5053346271310284
0,11,2.768279416546361,-8172527414064068669,0,0,0.3637901983014329  1.6235566230243297
0,12,3.0008731899909016,-2330211937710411940,0,0,0.7970223451911886  1.5380600024891224
0,13,3.155564495575422,-9221835609752676052,0,0,1.51298455685414  -0.9308287846302905
0,14,3.226992678163489,4420689651886187866,0,0,0.8068783644123725  1.6049735147991395
0,15,3.5963967693759726,-3155415246251952061,0,0,0.8851961459935431  1.6771477431920392
0,16,4.045500101901135,-8902953811412760110,0,0,-1.8105896583218577  0.875936750615633
0,17,4.290518093774372,-4569070217727963549,0,0,0.9369270557350857  1.8473456054582629
0,18,4.525458792665442,9125683253521128736,0,0,-0.8608032041049247  1.9453731355367632
0,19,4.7599452681446905,-5767361268853311461,0,0,1.5473447930508328  -1.538073262092273
0,20,5.203964754393528,-8516450506948894789,0,0,0.14583708637242054  -2.27655360108914
0,21,5.302468315455821,5074825165638980847,0,0,-2.043650719348751  1.0611126484785451
0,22,5.330856571651355,9112040395705416756,0,0,-0.22316360493977783  2.298054520041167
0,23,5.341575958740335,-1648475923773156866,0,0,2.2991236671710826  0.2358099272594938
0,24,5.719637348964316,-5819811403688245583,0,0,-1.459592072138189  -1.894525885786643
0,25,5.860688727877967,-7362772502698490595,0,0,2.370503730173529  0.4913255469760882
0,26,5.987240314439963,3043240773773624919,0,0,-0.2814614809696021  2.430641838932746
0,27,6.044596508569833,-1251151450390126470,0,0,1.5527374816431312  1.906201149320391
0,28,6.263779872311382,1175997978776696358,0,0,-0.8298860119031986  2.361158418988185
0,29,6.291819640345,-9115051668496583437,0,0,-1.867372950217217  -1.6747351746297228
0,30,6.303824809925858,-5268039400930597820,0,0,-2.4707189842119646  -0.4465114903117895
0,31,6.72011402235093,-5825973536388099025,0,0,1.5841310158513888  -2.0519851234764293
0,32,6.763320954257917,-2241765910438892088,0,0,-1.7856967826348273  1.8906633636757082
0,33,6.796441117458338,-8133110551933645058,0,0,-2.597720142399577  0.21975254089511775
0,34,6.859143911719418,-2883596979841008038,0,0,1.867131810986928  -1.8365627438560579
0,35,6.964035906451357,4065131217080159898,0,0,0.08186647819305648  -2.6376758303854593
0,36,6.999267483745857,8634867549715108034,0,0,-2.3610810159371103  1.1935509708124075
0,37,7.341980714050092,-9130924126026410663,0,0,-1.610171504603445  -2.1792953998513305
0,38,7.456211020036394,6458628342375722230,0,0,2.125473929179024  -1.714226238399318
0,39,8.071203163951735,6959734358684386229,0,0,1.075375719147786  2.629595068944859
0,40,8.11031076856513,2406938074243649010,0,0,2.74623748614638  0.7539830490465569
0,41,8.220412115251868,4693073378494797816,0,0,-1.693885423590035  2.313258370135311
0,42,8.280852475934887,-2343898146918726005,0,0,-1.8637072494089626  -2.1925892831160527
0,43,8.778659182253255,1566285441971326527,0,0,-2.961712810572808  0.08316495621459197
0,44,9.189596410457774,-7643028005374778814,0,0,2.924163354077362  0.7992903659677166
0,45,9.239582709206644,2974764382557663784,0,0,-2.830840105476934  1.1072158806799983
0,46,9.654440477262092,2053878120719421160,0,0,-2.4019009459017173  1.9711195608938912
0,47,9.749581576818168,-5855547877376058924,0,0,-2.9720986266614875  -0.9571892865128966
0,48,10.062959854258024,-8453033888483684585,0,0,-2.7720678231595275  1.542271000201204
0,49,10.179193656070227,1974972348144390371,0,0,0.07706075224513853  3.189554090548339
0,50,10.18682238762273,5459865127021497965,0,0,2.5637971144066407  -1.90099098992681
0,51,10.462303573164684,-4678530840268340625,0,0,-3.2044263375092714  0.440403701893616
0,52,10.600362508798376,-5288755899684606173,0,0,2.918797988783786  1.4425605046132732
0,53,11.069114518650661,-4330634340730215620,0,0,-1.7601245367276555  -2.8233094293505836
0,54,11.11100810460048,-3040541823565545598,0,0,2.7403782452432486  -1.8977184136741712
0,55,11.55416515907693,-7806062672137615574,0,0,2.2453379413835286  2.5519840689276467
0,56,11.60268271915623,-4986299263592675435,0,0,0.9661853141382686  3.2663693388684267
0,57,11.874198450139401,7420341302960393494,0,0,3.445867502112887  0.013985993768554472
0,58,11.9618869966509,-167654518058393770,0,0,3.3333539810673605  0.9223005115217493
0,59,12.82276128864043,9062736266787538691,0,0,-0.4921371194737434  -3.5469088435250935
0,60,13.414767975944159,1931419858025659795,0,0,-2.5846285294089455  -2.595084457375041
0,61,13.516228197819022,8421479453027406546,0,0,0.45766024758729973  -3.647845294910045
0,62,13.553378781409634,-5008560414420206195,0,0,-1.090337075543812  3.516325332375291
0,63,13.584925401057312,1140002450820361686,0,0,-1.401062360317228  -3.409098071860009
0,64,13.666140214574348,-5685731499248839147,0,0,-1.808023783220857  3.2244674310468833
0,65,13.79646575905926,-4876309667191518974,0,0,-3.37722109349599  -1.5462352488237388
0,66,14.772734014179672,-2681916959604820884,0,0,0.3614907936652818  -3.8264942728658196
0,67,14.860741618384582,3873374351054668737,0,0,3.8057597739886804  0.613949640503364
0,68,15.078280222625878,-6689164796611355376,0,0,2.280289536645972  3.1430176346448926
0,69,15.880643804482762,-1192829800613658503,0,0,-3.565640841654972  -1.7795643266835803
0,70,15.972767714132104,4785634887116857750,0,0,3.7240485058878923  -1.4505965806957706
0,71,16.144938571595702,7949002019592460422,0,0,-3.8620844842859685  -1.1087118687167052
0,72,16.546100330564578,-2814119619947307532,0,0,-2.5816706235352833  -3.1434180635320397
0,73,16.588992426213345,-4532288601117388653,0,0,0.32674425558515985  -4.059831353351448
0,74,16.880902878246673,-8218533418533932365,0,0,-3.640908173415027  -1.9038620094445728
0,75,17.03283942968895,3919924423168728459,0,0,-2.5548539275488373  3.241228291647663
0,76,17.043938070607204,421817175182185167,0,0,0.35305956127371374  4.113306093253992
0,77,17.07685701602673,-1019126800392982692,0,0,0.8011483204451872  -4.0540126275919
0,78,17.189500489108745,1639193043246520023,0,0,1.8323264442912235  3.7191504797009527
0,79,17.261749649679402,7323259161702308159,0,0,-4.06641999424033  0.8520434731408235
0,80,17.6985054641485,-4612535546598018132,0,0,-0.6299691068680495  4.1595245387592525
0,81,18.176982954577067,8262228315574044704,0,0,-4.258123843331273  -0.21298894203873697
0,82,18.450041451761557,-8197236036741073446,0,0,3.98285719886123  1.6083811691389682
0,83,18.480793265973734,-8458904478909806277,0,0,0.8732569403091972  -4.2093010800102615
0,84,18.78302152627681,4113004641313266336,0,0,-0.7814763410745309  4.262899981775033
0,85,19.13999359831049,5673791763294613811,0,0,1.791779398522233  -3.9911802997787253
0,86,19.335244193533555,-749069824104399723,0,0,-0.7299116472777003  -4.336181866654339
0,87,19.444133103098537,-829212763929194300,0,0,2.6325420906705492  3.537492790656466
0,88,19.66435935669738,-982685040001653558,0,0,-4.329746853119431  -0.9579413054043346
0,89,19.79611189677297,8351476413531478374,0,0,-4.448879122120356  0.05988700639184952
0,90,20.053121823460998,-6431462728531046555,0,0,4.454963511597497  0.454336806560832
0,91,20.51264245222374,8869242612090047381,0,0,-3.83308722972507  -2.4124851795487428
0,92,20.611450139364347,4558913000131092204,0,0,-2.780841499260881  -3.5886446878108234
0,93,20.644393005958495,-407688617357134326,0,0,3.682672095754028  2.661262715538083
0,94,20.861843042483784,7741049109486134611,0,0,-3.4241977037115636  3.0226996424355894
0,95,20.8809947206895,-6489708785235139784,0,0,-4.067153802274953  -2.0830877728338497
0,96,21.026217567187352,-7483270886374176779,0,0,1.2197923603631953  -4.420217660340601
0,97,21.076911968670817,1846388103972694540,0,0,-3.960274289054982  -2.322313399203664
0,98,21.10955160181403,-19227856906006428,0,0,4.45559909875806  -1.121244073768238
0,99,21.195914330016166,-4240607351236172065,0,0,-1.7632620403152792  4.252860367705407
0,100,21.254289357669986,3372272729128299748,0,0,1.2768494605240388  4.429892189752416
0,101,21.36815353982338,-8897773162894461537,0,0,1.1743356906528186  -4.4709159269083045
0,102,21.74603221943958,2465545083913400825,0,0,3.994221405864427  -2.406704713996709
0,103,21.97540740615966,-5388950183750837925,0,0,4.218874549326176  2.043649907202189
0,104,22.180635357235317,-4896999108162893190,0,0,-1.7102979854610978  4.3881107732329445
0,105,22.302976743259883,6017805631578082720,0,0,-1.3750377945483683  -4.517991567812344
0,106,22.602162517332886,-8125158198320357784,0,0,-4.4856967865438735  -1.575019636868967
0,107,22.62006239710353,-1777355494202936814,0,0,4.367383141789948  -1.88308971902894
0,108,22.989624605896292,-6442022773608804125,0,0,-4.090129125841218  -2.5020927920126486
0,109,24.061968395417928,-8132344819569873696,0,0,-4.756768709923584  1.1979648724857714
0,110,24.260006285859916,7745800783680780031,0,0,-0.32949820453219125  -4.914411177249008
0,111,24.538030263852875,4904588603176815391,0,0,-2.3206034233015553  -4.376394636640299
0,112,24.724469300758045,8944962695538493763,0,0,4.953049116486397  -0.4379197990858268
0,113,24.77166159049849,8503433374999704049,0,0,-4.888710243716583  -0.9339024271726899
0,114,24.915393517178945,421432205882517523,0,0,4.977257031199087  0.37723462534369556
0,115,25.281530490707155,-5929663652127852102,0,0,-4.474117427330334  -2.294298092481913
0,116,25.60059107213575,7133201901396018576,0,0,-3.330903211788109  -3.808631626429026
0,117,26.52322903371247,8435770817928763753,0,0,-1.9725587303619614  4.7573355030925955
0,118,26.662344445322933,-7408366166217365038,0,0,-4.419181041093339  -2.6708020090160414
0,119,26.984776789485615,1513118004106313907,0,0,-4.60735951412625  -2.399378064640073
0,120,27.391810352175437,4268773792364524853,0,0,-3.04921083611932  4.253718799952337
0,121,27.79522384631002,-331619297555897124,0,0,4.468830609754602  2.797280255467859
0,122,27.90079445699078,6973409427468083589,0,0,3.7750817429141863  -3.6945300501290785
0,123,28.71980318271851,3678431883090326491,0,0,-5.04304948452869  -1.813134048909077
0,124,28.72725399570009,-7994898212747399127,0,0,-3.6143249667000372  3.9577656614292946
0,125,28.757631342022314,-9105428160399330338,0,0,-4.534856064454539  2.8622913577590605
0,126,29.066183905550446,4733322218568586173,0,0,2.2667108528637865  -4.891646534149823
0,127,29.27749675391312,2004504815726861098,0,0,-3.241152053121614  4.3327162522439275
0,128,29.714906914580794,-8902148210046080361,0,0,-2.501118362105143  -4.8434815838734515
0,129,29.795497095539076,4021990987723106138,0,0,-2.9678740769456318  4.5811811314259545
0,130,30.22527057726226,8580501692526826599,0,0,3.6412300737682104  4.119067142830791
0,131,30.46544835895856,-7859851023541087177,0,0,2.3780806717500624  -4.980981898943956
0,132,30.476322695240025,-4158028270153145057,0,0,-5.050356198233868  -2.2294001359560323
0,133,30.79510153213165,8091947724770191665,0,0,-4.715936110536944  -2.9249013886736988
0,134,31.720865820042988,-8053133497209457640,0,0,5.058063339595319  2.477268873716545
0,135,31.91404311365028,2754316704940441494,0,0,2.9496207064350566  -4.818068160769401
0,136,32.036877460788645,8110499830265863827,0,0,-3.0305560059298933  4.780440121548527
0,137,33.03377977692927,-7273259170863515713,0,0,-3.9600226445993667  -4.165573241606671
0,138,33.72688669241598,-495441047522314610,0,0,-4.261908248334516  -3.9449999715075035
0,139,33.88371974363167,-6346335147969112689,0,0,-3.514687438388685  4.640117665971894
0,140,35.044807800800385,-7126607770252517259,0,0,-3.0173596673622183  5.093166837889384
0,141,36.996529571668255,485480308617705983,0,0,5.012810759189304  3.4450337972542746
0,142,37.27221879203762,2630973318742671334,0,0,4.3012742808944  4.332581026657665
